SongID,start_time,end_time,start_frame,end_frame,label,Genre,FilePath,sp_danceability,sp_energy,sp_key,sp_loudness,sp_speechiness,sp_acousticness,sp_instrumentalness,sp_liveness,sp_valence,sp_tempo,sp_time_signature,sp_genre,sampling_rate
1,0,61,0,5718,other,Bass House,..\data\audio_files\processed\1.mp3,0.905,0.838,6,-6.838,0.0499,0.00112,0.839,0.608,0.464,126.007,4,"electro house, brostep, bass house, fidget house",48000
1,61,121.9,5718,11428,chorus,Bass House,..\data\audio_files\processed\1.mp3,0.905,0.838,6,-6.838,0.0499,0.00112,0.839,0.608,0.464,126.007,4,"electro house, brostep, bass house, fidget house",48000
1,121.9,167.7,11428,15721,other,Bass House,..\data\audio_files\processed\1.mp3,0.905,0.838,6,-6.838,0.0499,0.00112,0.839,0.608,0.464,126.007,4,"electro house, brostep, bass house, fidget house",48000
1,167.7,228.6,15721,21431,chorus,Bass House,..\data\audio_files\processed\1.mp3,0.905,0.838,6,-6.838,0.0499,0.00112,0.839,0.608,0.464,126.007,4,"electro house, brostep, bass house, fidget house",48000
1,228.6,259.9950113,21431,24374,other,Bass House,..\data\audio_files\processed\1.mp3,0.905,0.838,6,-6.838,0.0499,0.00112,0.839,0.608,0.464,126.007,4,"electro house, brostep, bass house, fidget house",48000
2,0,92.2,0,8643,other,Bass House,..\data\audio_files\processed\2.mp3,0.897,0.692,11,-4.985,0.0492,0.0187,0.725,0.0603,0.607,125.023,4,"bass house, house, tech house, electro house, brostep, fidget house",48000
2,92.2,138.3,8643,12965,chorus,Bass House,..\data\audio_files\processed\2.mp3,0.897,0.692,11,-4.985,0.0492,0.0187,0.725,0.0603,0.607,125.023,4,"bass house, house, tech house, electro house, brostep, fidget house",48000
2,138.3,184.3,12965,17278,other,Bass House,..\data\audio_files\processed\2.mp3,0.897,0.692,11,-4.985,0.0492,0.0187,0.725,0.0603,0.607,125.023,4,"bass house, house, tech house, electro house, brostep, fidget house",48000
2,184.3,230.4,17278,21600,chorus,Bass House,..\data\audio_files\processed\2.mp3,0.897,0.692,11,-4.985,0.0492,0.0187,0.725,0.0603,0.607,125.023,4,"bass house, house, tech house, electro house, brostep, fidget house",48000
2,230.4,276.425034,21600,25914,other,Bass House,..\data\audio_files\processed\2.mp3,0.897,0.692,11,-4.985,0.0492,0.0187,0.725,0.0603,0.607,125.023,4,"bass house, house, tech house, electro house, brostep, fidget house",48000
3,0,47.6,0,4462,other,Pop Dance,..\data\audio_files\processed\3.mp3,0.727,0.982,11,-4.011,0.0782,0.000274,0.854,0.286,0.719,126.036,4,"pop dance, tech house",48000
3,47.6,91.4,4462,8568,chorus,Pop Dance,..\data\audio_files\processed\3.mp3,0.727,0.982,11,-4.011,0.0782,0.000274,0.854,0.286,0.719,126.036,4,"pop dance, tech house",48000
3,91.4,131.4,8568,12318,other,Pop Dance,..\data\audio_files\processed\3.mp3,0.727,0.982,11,-4.011,0.0782,0.000274,0.854,0.286,0.719,126.036,4,"pop dance, tech house",48000
3,131.4,175.2,12318,16425,chorus,Pop Dance,..\data\audio_files\processed\3.mp3,0.727,0.982,11,-4.011,0.0782,0.000274,0.854,0.286,0.719,126.036,4,"pop dance, tech house",48000
3,175.2,179.5290249,16425,16830,other,Pop Dance,..\data\audio_files\processed\3.mp3,0.727,0.982,11,-4.011,0.0782,0.000274,0.854,0.286,0.719,126.036,4,"pop dance, tech house",48000
6,0,61.9,0,5803,other,Funky House,..\data\audio_files\processed\6.mp3,0.797,0.99,0,-4.885,0.178,0.195,0.779,0.222,0.0379,125.931,4,"italian tech house, funky house",48000
6,61.9,92.4,5803,8662,chorus,Funky House,..\data\audio_files\processed\6.mp3,0.797,0.99,0,-4.885,0.178,0.195,0.779,0.222,0.0379,125.931,4,"italian tech house, funky house",48000
6,92.4,172.4,8662,16162,other,Funky House,..\data\audio_files\processed\6.mp3,0.797,0.99,0,-4.885,0.178,0.195,0.779,0.222,0.0379,125.931,4,"italian tech house, funky house",48000
6,172.4,199,16162,18656,chorus,Funky House,..\data\audio_files\processed\6.mp3,0.797,0.99,0,-4.885,0.178,0.195,0.779,0.222,0.0379,125.931,4,"italian tech house, funky house",48000
6,199,203.7990023,18656,19106,other,Funky House,..\data\audio_files\processed\6.mp3,0.797,0.99,0,-4.885,0.178,0.195,0.779,0.222,0.0379,125.931,4,"italian tech house, funky house",48000
7,0,123,0,11531,other,Dance Pop,..\data\audio_files\processed\7.mp3,0.71,0.729,2,-4.978,0.0539,0.0743,3.89E-06,0.0419,0.532,124.995,4,"afrobeats, dutch house, dance pop, edm, pop dance, sky room, progressive electro house, electro house, progressive house, german techno, pop",48000
7,123,153.7,11531,14409,chorus,Dance Pop,..\data\audio_files\processed\7.mp3,0.71,0.729,2,-4.978,0.0539,0.0743,3.89E-06,0.0419,0.532,124.995,4,"afrobeats, dutch house, dance pop, edm, pop dance, sky room, progressive electro house, electro house, progressive house, german techno, pop",48000
7,153.7,261.2,14409,24487,other,Dance Pop,..\data\audio_files\processed\7.mp3,0.71,0.729,2,-4.978,0.0539,0.0743,3.89E-06,0.0419,0.532,124.995,4,"afrobeats, dutch house, dance pop, edm, pop dance, sky room, progressive electro house, electro house, progressive house, german techno, pop",48000
7,261.2,291.9,24487,27365,chorus,Dance Pop,..\data\audio_files\processed\7.mp3,0.71,0.729,2,-4.978,0.0539,0.0743,3.89E-06,0.0419,0.532,124.995,4,"afrobeats, dutch house, dance pop, edm, pop dance, sky room, progressive electro house, electro house, progressive house, german techno, pop",48000
7,291.9,323.4660317,27365,30324,other,Dance Pop,..\data\audio_files\processed\7.mp3,0.71,0.729,2,-4.978,0.0539,0.0743,3.89E-06,0.0419,0.532,124.995,4,"afrobeats, dutch house, dance pop, edm, pop dance, sky room, progressive electro house, electro house, progressive house, german techno, pop",48000
8,0,68.9,0,6459,other,,..\data\audio_files\processed\8.mp3,0.725,0.828,7,-7.056,0.0713,0.00308,0.488,0.0846,0.349,115,4,,48000
8,68.9,110.6,6459,10368,chorus,,..\data\audio_files\processed\8.mp3,0.725,0.828,7,-7.056,0.0713,0.00308,0.488,0.0846,0.349,115,4,,48000
