trial,description,grid,decode,snap,tempo_source,n_songs,anchor_exact_rate,anchor_within_1_bar_rate,precision_mean,precision_median,recall_mean,recall_median,f1_mean,f1_median,median_abs_err_s_mean,median_abs_err_s_median,hit_rate_70ms_mean,hit_rate_70ms_median,hit_rate_500ms_mean,hit_rate_500ms_median,n_pred_boundaries_mean,n_pred_boundaries_median,median_abs_err_beats_mean,median_abs_err_beats_median
T0,"released checkpoint, librosa grid, smooth",librosa,smooth,0,librosa,51,0.37254901960784315,0.7843137254901961,0.8924800634043166,0.939799331103679,0.9142842711084537,0.9475409836065574,0.8957311428578839,0.9283135636926251,2.5114379084967324,1.7766666666666708,0.0196078431372549,0.0,0.20016339869281044,0.16666666666666666,4.823529411764706,4.0,5.135896040854534,3.8338068181818254
T2a,"retrained librosa grid, smooth",librosa,smooth,0,librosa,51,0.0784313725490196,0.43137254901960786,0.8930052849716204,0.9583333333333334,0.865731861395082,0.900131406044678,0.8686257913342071,0.884830035514967,3.5999477124183015,2.8946666666666623,0.00980392156862745,0.0,0.08823529411764706,0.0,4.980392156862745,4.0,7.448654485018872,5.899456521739121
T2b,"retrained beat_this grid, smooth",beat_this,smooth,0,librosa,51,0.5490196078431373,0.6862745098039216,0.900449801571512,0.9646551724137931,0.9015049871876576,0.9349593495934959,0.8894704444555902,0.920877998979071,3.1514248366013073,1.8979999999999961,0.3070261437908497,0.25,0.33153594771241834,0.25,5.176470588235294,4.0,6.464519531916879,3.979166666666667
T3a,"librosa grid, viterbi",librosa,viterbi,0,librosa,51,0.11764705882352941,0.45098039215686275,0.8957485954661942,0.9583333333333334,0.8676560501610036,0.900131406044678,0.870358112745664,0.8930817610062892,3.2856732026143787,2.684666666666665,0.017973856209150325,0.0,0.130718954248366,0.0,4.666666666666667,4.0,6.781135165789085,5.593055555555552
T3b,"beat_this grid, viterbi",beat_this,viterbi,0,librosa,51,0.5882352941176471,0.7058823529411765,0.9004380453469982,0.9529780564263323,0.9102768171062847,0.9426229508196722,0.892970480573575,0.920877998979071,2.4613986928104588,1.4459999999999944,0.3717320261437908,0.3333333333333333,0.40114379084967317,0.3333333333333333,4.862745098039215,4.0,5.019894648851751,3.0111111111111053
T4a,"librosa grid, viterbi + snap",librosa,viterbi,1,librosa,51,0.5882352941176471,0.6470588235294118,0.9077917063922692,0.9976689976689976,0.9058824527277267,0.9435084241823588,0.8959452956405891,0.9141104294478527,2.016470588235296,0.9399999999999977,0.47630718954248363,0.5,0.5285947712418301,0.5,4.666666666666667,4.0,4.12617584345693,1.99728260869566
T4b,"beat_this grid, viterbi + snap",beat_this,viterbi,1,librosa,51,0.7647058823529411,0.803921568627451,0.9067683146954273,0.9976689976689976,0.9277790494299615,0.9655737704918033,0.9047653487551418,0.9398645957785742,1.8368627450980404,0.4900000000000091,0.5302287581699346,0.5,0.5923202614379085,0.5,4.862745098039215,4.0,3.768475406985953,0.9986413043478446
T6a,"librosa grid, beat_this tempo, viterbi",librosa,viterbi,0,beat_this,51,0.058823529411764705,0.47058823529411764,0.8924096702367041,0.9527027027027027,0.8711112518024132,0.900131406044678,0.8699959359725277,0.8862212943632568,3.1211503267973866,2.6899999999999977,0.00980392156862745,0.0,0.10130718954248365,0.0,4.705882352941177,4.0,6.539110964861599,5.594666666666683
T6b,"librosa grid, qm tempo, viterbi",librosa,viterbi,0,qm,51,0.17647058823529413,0.5294117647058824,0.8911902725391402,0.9488095238095238,0.8784763909159301,0.9127579737335835,0.874481753227953,0.9058441558441558,3.078078431372549,2.3359999999999985,0.00980392156862745,0.0,0.17810457516339867,0.16666666666666666,4.705882352941177,4.0,6.4778395436601555,4.905599999999997
T6c,"librosa grid, beat_this_mixxx tempo, viterbi",librosa,viterbi,0,beat_this_mixxx,51,0.17647058823529413,0.5294117647058824,0.8950772883922385,0.9488095238095238,0.8813313923421394,0.9128397375820057,0.878268853852816,0.9125295508274233,3.0357647058823534,2.079333333333338,0.00980392156862745,0.0,0.1830065359477124,0.16666666666666666,4.666666666666667,4.0,6.353052192294687,4.36660000000001
